Sentence,Labels Set,subategory,
"મહિલા હોકી ટીમ જે લગન અને જીવજાન લગાવી રમી એ કેટલાય વર્ષો સુધી બીજા ને પ્રેરણા આપતું રહશે",Non-Hate,Positive,
"આ ને વડાપ્રધાન કહેવાય",Non-Hate,Neutral,
"હવે થોડા સમયમાં સાંભળવા મલશે હું નાનો હતો ત્યારે હોકી
રમવા પંજાબ જતો હતો
😄😄😄
",Non-Hate,Neutral,
"રમતો માટે બજેટ માં કાપ મૂક્યો ના હોત તો આજે આ મેડલ આપણો હોત !",Hate,Accusations,
"પરસેવો એરે નહી જાય ભારત ને ખબર છે
અને તમને પણ ખબર છે આ થોડી ફેંકમ ફેક કરવા નું હતુ😂😁",Non-Hate,Neutral,
"આને કહેવાય ઈમોશનલ સહનાભુતિ",Non-Hate,Neutral,
"આ તો સાયેબ રમ્યા ની એટલે બાકી તો સામે વારા ના આંટા પાડી નાંખતે..???😂😂",Non-Hate,Neutral,
"મારો હાળો જલસા કરતો જાય વેચતો જાય ફેંકતો જાય
વિદેશ ફરતો જાય અને પાછો રોતો પણ જાય લે
😁😁😀😀",Non-Hate,Neutral,
"ફેકુ નાટક બાજ ક્યારેક આંદોલન માં બેઠેલા કિસાન ને પણ ફોન કર હિંમત હોય તો",Hate,Accusations,
"તમને પેદા મોદીએ કારીયા છે",Non-Hate,Neutral,
"ઘરભેગા થાવ અને આત્મનિર્ભર બનો આ તમારૂ કામ નથી",Non-Hate,Neutral,
"સાંસદો એ ગામ દત્તક લીધેલા એ નું શુ થયુ",Non-Hate,Neutral,
"આજ રીતે એક કોલ 10 મહિના થી ખેડૂત બેઠા આંદોલન કરીને બેઠા છીએ ત્યાં એક કોલ કરો
દિલ્હી માં એક 9 વર્ષ ની દલિત છોકરી નો બળાત્કાર થયો અને જીવતી સળગાવી દીધી ત્યાં એક આ રીતે ભાવુક થય કોલ કરો",Non-Hate,Neutral,
"આ જાતિવાદી કિડાઓનુ પણ કંઈક કરજો..",Hate,Accusations,
"હવે થોડા સમયમાં સાંભળવા મલશે હું નાનો હતો ત્યારે હોકી
રમવા પંજાબ જતો હતો
😄😄😄",Non-Hate,Neutral,
"આ વાત માનીજાવ તો સારું કેવાય નકર મોદી બસો ત્રણસો કરોડ નો ધુવાળો કરી સભાઓ અને રૅલીયું કરી ને આ વાતની સાબિતી આપશે😂😂",Non-Hate,Neutral,
"કૉમેન્ટના માધ્યમથી તમે બજરંગ પુનિયાને શુભેચ્છા પાઠવી શકો છો",Non-Hate,Neutral,
"અલ્યા કૈંક તો કામ નું કર.... બસ નખ્ખોદ વાળી રહ્યો છું",Non-Hate,Neutral,
"સાહેબ તો નાન પણથી જ ક્રિકેટ રમતા અને સ્ટેડિયમ માં સેવા આપવા જતા એટલે સ્ટેડિયમ નું નામ સાહેબ ના નામ પરથી રાખવામાં આવ્યું 🤣🤣",Non-Hate,Neutral,
"શુ મોદીસાહેબ એક ઉચ્ચ કક્ષા ના ઉત્તમ ક્રિકેટર છે, કે અમદાવાદ ના ""સરદાર પટેલ સ્ટેડિયમ"" નું નામ બદલી ને ""નરેન્દ્ર મોદી સ્ટેડિયમ"" રાખ્યું...???",Hate,Accusations,
"ભાવના તો એ પણ છે કે સૌથી મોટું ક્રિકેટ સ્ટેડિયમ કોઈ ક્રિકેટર ના નામે ઓળખાય.",Non-Hate,Neutral,
"દેશવાસીઓ મોધવારી વિશે ઘણુ કેય છે",Hate,Accusations,
"અમદાવાદ ક્રિકેટ સ્ટેડિયમને પોતાનું નામ આપનાર. ખેલ રત્ન એવોર્ડ નું નામ બદલી રહ્યા છે. 🤔🤔🤔",Non-Hate,Neutral,
"તો પછી આખા ગુજરાત નો વિરોધ છે કે
સરદાર પટેલ સટેડીમ નુ નામ શું કામ બદલી નાખ્યું છે",Hate,Accusations,
"અલ્યા અનેક લોકોની માંગ છે કે તું ઝોલો ઉપાડી લે.....ચોર",Hate,Accusations,
"ઘણા દેશવાસીઓ નો આગ્રહ છે કે મોંઘવારી પણ ઘટે એનું કરને પેલાં",Hate,Accusations,
"જયપાલ મુંડા એ આપેલા હોકી ના યોગદાન ને પણ સમ્માનિત કરાય.",Non-Hate,Neutral,
"આ ને કો ભાઈ દેશ ના ઘણાં નહીં બધા લોકો નો આગ્રહ છે મોંઘવારી ઓછી કરે . પેટ્રોલ ડિઝલ નો ટેક્સ ઘટાડે .",Non-Hate,Neutral,
"હું તો કવ સું હારે હારે દેસનું નામ પણ મોડીસ્તાન કરી દેવુ જોઈતુ હતું😂😂",Non-Hate,Neutral,
તો અમદાવાદ ના ક્રિકેટ મેદાન નું નામ મોદી ને બદલે રણજિત સિંહજી પેવેલિયન કરી દો ને,Non-Hate,Neutral,
"પ્રભુદાસ ખાખરીયા વેલુ પીલવાઈકર જે પ્રથમ ભારતીય ટીમના એક માત્ર ક્રિકેટર હતા😂
",Non-Hate,Neutral,
જનાબ ખાખરિયા ભાઇજાંન રાહુલખાન નુ નામ ચાલશે ?,Non-Hate,Neutral,
"Mk Patel બરાબર વાત કરી અને જેટલું કરવું હોઈ કરી લેવાદો સતા માં છે દેશ ના મલિક થોડી છે !!!?",Non-Hate,Neutral,
"કેમ ભાઈ મરચાં લાગ્યા",Non-Hate,Neutral,
"સરકાર આવા નો કરવા ના કામો જ કરી રહી છે એટલે તો અર્થતંત્ર ની બરબાદી,ખેડૂતો ની બરબાદી,કોરોના સામે ની જંગ મા નિષ્ફળતા તથા મોંઘવારી ને રોકવા નિષ્ફળતા તથા આખો દેશ બેરોજગારી ના કાળ મુખા ખપ્પર મા હોમાઈ ગયો છે પણ આને સમજાવે કોણ ????",Hate,Accusations,
"બીજા ની લીટી ભુલી ને તારી લીટી કેવી રીતે મોટી કહેવાય જીવતા વ્યક્તિઓ ના નામના સ્ટેડિયમ બને અને દિવંગત વડાપ્રધાન ના નામ ભુસી નાખી ને શુ સાબીત કરવા માગે છે",Hate,Accusations,
"Rahul P એ તર્ક સમજવા માટે મગજ ની જરૂર પડે મોટા ભાઈ",Non-Hate,Neutral,
"Ramesh Bhai જનાબ રાહુલભાઇજાંન ને વાત કરો કંઇક કરશે તમારી મનોકામના પુરી કરશે",Non-Hate,Neutral,
"Ramesh Bhai બીલાડી નાં ઘૂસી જતાં લોકો નાં નામ લખ્યા તેની સામે વાંધો નથી લુખ્ખા ને લુખ્ખા માટે વાંધો ના હોય પણ એક દેશ પ્રેમી વફાદાર વ્યક્તિ માટે તકલીફ થાય માનવતા માં વાંધો..્",Non-Hate,Neutral,
જેણે દેશનું અર્થતંત્ર નબળુ બનાવી દેશને અધોગતિ ના માર્ગે ધકેલી દીધો એવો વ્યક્તિ દેશને વફાદાર અને દેશપ્રેમી ના હોય શકે,Hate,Accusations,
હિંદુસ્તાન ને ગદ્દારિસ્તાન બનાવવુ નથી,Non-Hate,Neutral,
"Nitin Patel ગદ્દારિસ્તાન તો નય પણ ગુલામીસ્તાન બનાવી ને મૂકી દીધું છે

",Hate,Accusations,
"વડાપ્રધાન બન્યા પછી પણ વિચાર તો ચાવાળા જેવા જ રહ્યા.નવું કશું વિચારવાનું જ નહી.અત્યાર સુધી મનમોહન સિંહે નક્કી કરેલા કામ જ કર્યાં છે.",Non-Hate,Neutral,
"નામ બદલીને તમે શું સાબિત કરવા માંગો છો ? કાંઈક નવું કરો,બનાવો પછી મહાન હસ્તીઓ સાથે તેમનું નામ જોડો નવી લીટી બનાવો બિજાની લીટી ન ભુશો",Hate,Accusations,
"૨૦૧૪ ના વર્ષે ભારત આઝાદ થયું એવી જાહેરાત ન કરે તો સારું...
હુ પોતે રાષ્ચ્વાદ અને હીન્દુવાદમા માનનાર યુવા છુ પરંતુ કટ્ટર અને છીછરી માનસિકતા નઈ,
હીન્દુ સંસ્કૃતિ સર્વધર્મ સમભાવ, સર્વધર્મ મમભાવ માનનારી હતી અને રહેશે...
દેશના ભૂતપૂર્વ શહીદ વડાપ્રધાનશ્રી રાજીવ ગાંધી જે ટેકનોલોજીની ક્રાંતિ લાવવા બદલ આ દેશ હંમેશા એમનો રુણી રહેશે...
ઈતિહાસ બદલી ન શકાય માટે વડાપ્રધાન પદ ને શોભે એવા કામ કરો નઈ તો ઈતિહાસ તમારી પણ નોંધ લેઈ જ છે...",Non-Hate,Neutral,
"Dharmesh Patel આ આપડો વર્ણશંકર બીજું શું કરી શકવાનો ?",Non-Hate,Neutral,
"આના બાપ દાદા કોગ્રેસી હતા પણ આ વણસંકટ પેદાઈસ છે.",Non-Hate,Neutral,
"સાહેબ તો આપણું નામ પણ બદલી નાખશે? નામની કિંમત નામનાં મેળવવા માં વાપરી તેના કરતાં કામ કરી જોયું હોત તો ઓટોમેિકલી નામ બની પ્રજાના દિલમાં રાજ કરતા હોત.. મોંઘવારી આજે આકાશને આંબી ગઇ તોય સાહેબ પ્રજાની કેવી હાલત છે તે જોવા પણ રાજી નથી..હવે સરકાર બદલવી પ્રજા માટે જરૂરી બની ગયું છે.. 🙏 જય હિંદ મિત્રો",Non-Hate,Neutral,
"બસ વિરોધ કરવાનો અને વિરોધ કરવામાં કંઈ પણ વિચારી લેવાનું...",Non-Hate,Neutral,
"ખામોશ
હીન્દુસ્તાન ને હિંદુસ્તાન જ રહેવા દો",Non-Hate,Neutral,
"Mansukhbhai Gothadiya સરકાર બદલે સુ મોંઘવારી કટ્રોલ મા આવસે ખરી વધારાનો માર પડવાનો સે ચુંટણી પાછડ જે ખર્ચો કરસે ને તેનો એ ચુંટણી જનતા ના ટેક્સ ના પૈસે જ કરે સે એટલે જનતા પર વધારા નો માર પડસે એ અલગ",Non-Hate,Neutral,
"આ ચા વાળા ને ઉત્તમ અને ખૂબ જ નેકી થી અપાયેલા સંસ્કાર નું ખૂબ જ ઉંચુ ઉદાહરણ છે.જે આ ચા વાળા ભાઈ નિભાવી રહ્યા છે.આ લોકો ની પાસેથી કોઈ બીજા જાદુ ની અપેક્ષા નાં રાખી શકાય.સાહેબ નું કામ ખૂબ જ સરહાનીય છે.બાકી જનતા બધું સમજે છે.",Non-Hate,Neutral,
 સરદાર પટેલ સ્ટેડિયમ નું નામ બદલી પોતાનું નામ રાખી દે એવા જોડે શું આશા રખાય...,Hate,Accusations,
"ચા વારા હલકટ હોટલિયા પાસેથી આથી વિશેષ અપેક્ષા શું રખાય ?",Non-Hate,Neutral,
"માનનિય મોદીજી નો ચાહક છુ..શ્રી મોદીજી મારા ફેવરીટ નેશનલ હીરો છે..પણ મારે કહેવુ જોઇયે કે આ બરોબર નથી કર્યુ",Hate,Accusations,
"સરદાર પટેલ સ્ટેડિયમ નું નામ ફેંકેન્દ્ર મોદી રાખે ,અને સરદાર પટેલ એરપોર્ટ નું નામ અદાણી કરે એની પાસે તમે બીજી શું અપેક્ષા રાખો",Non-Hate,Neutral,
"આ સરકાર ને આ સિવાય કોઈ બીજું કંઈ કરવાનું નથી પોતે દેશ નું કેટલું અધ પતન કરિયું છે તે બદલ આ બધું થઈ રહીયું છે નામ રોશન છે તે રોશન જ રહેવાનું છે પોતે જીવિત છે અને સરદાર પટેલ સ્ટેડિયમ નું નામ બદલી પોતાના નામ થી કરી લીધું તો રાજીવ ગાંધી ખેલ રત્ન એવોર્ડ નું નામ બદલી નાખી એમાં કોઈ નવાઈ નથી",Hate,Accusations,
"શુ આપણો દેશ એટલો માંયકાંગલો થઈ ગયો છે કે મેજર ધ્યાનચંદજીના નામે એક નવા સર્વશ્રેષ્ઠ ખેલ પુરસ્કારની શરૂઆત પણ ન કરી શકીએ?!?!?!?!?1!!!!!!!!!!
ક્યાં સુધી ઇસકી ટોપી ઉસકે સર
😜😜😜😜😜",Non-Hate,Neutral,
"નામ બદલવા સિવાય એ અભણ બીજું કાંઈ કરી શકે એમ જ નથી...",Non-Hate,Neutral,
"આ ગેંગ ને ખાલી નામ બદલતા જ આવડે છે,,,,
અને અંધ ભક્તોની તો એવી દશા છે કે અમદાવાદમાં સરદાર પટેલ સ્ટેડિયમ નું નામ બદલી નરેન્દ્ર મોદી સ્ટેડિયમ કર્યું તોપણ તાલીઓ વગાડે છે,,,,,",Hate,Accusations,
"નામ બદલવાથી બાપ ન બદલાય.ભાઈ
બાપ બાપ જ રહે...
ન જલી હોય તો ઘરે જઈને માતા જી ને પૂછજો...",Non-Hate,Neutral,
"ભાગેડુ અભણો નું કામ નથી દેશ ચલાવવાનું.",Hate,Accusations,
બધા નામ બદલવાથી દેશ નહિ બદલે સ્ટેડિયમ નું નામ મોદી સ્ટેડિયમ રાખ્યું મોદીસાહેબ જે હતું તે બરાબર હતું બદલવું હોય તો રાજકારણ સાઈડમાં મૂકી દો અને જરાક ગરીબો ખેડૂતો માધ્યમ વર્ગના માણસો નો વિચાર કરો જનતાના. રૂપિયા થી જલસા કરવાના બંધ કરો એક નહિ બધા mp mla પેન્શન છોળો અને કોઈકના તો નાણાં સ્વિશ મતો હસેજ સાત પેઢી નું સજુ કરો જનતા વિત આપે છે વિશ્વાસ થી પણ પછી કોણ દેખાય છે આપણા કામ બનતા ભાડમે જાય જનતા.અને હા ઓલા 15 લાખનું સુ થીયુ,Hate,Accusations,
"હવે દિવસ ભરાઈ ગયા છે જતા જતા કોંગ્રેશ નુ થાય તેટલુ નુકશાન કરતો જશે પણ હવે આમ આદમી મેદાને આવ્યો છે બિસ્તરા ઉપાડવા ના એ ફાઈનલ છે",Hate,Accusations,
"Haresh Vadaliya શાબ્બાશ હિંદુસ્તાન ને નકશા પરથી ગાયબ કરવાનો પ્રયત્ન કરી રહ્યા છો",Hate,Accusations,
"Nitin Patel તારી 50 પેઢી જતી રેહશે તો પણ ભારતનું નામ નકશા પરથી નહિ ગાયબ થાય, કઈ દુનિયામાં જીવે છે, ભારત / કહેતા શરમ આવે છે તને ?",Hate,Accusations,
"ખોટી પ્રથા પાડે છે. એમનો સૂરજ આથમશે તો બધાં નામ કોઈ બદલી કાઢશે.",Non-Hate,Neutral,
"આ એક કોંગ્રેસ ને બદનામ કરવા નું ષડયંત્ર
શિવાય બીજું કશુંજ નથી સાહેબ કારણકે
જે નામ બદલ્યૂ એ મેજર થી સંબોધવામાં આવે છે જો કોંગ્રેસ વિરોધ કરે તો આર્મી
વિરોધી ગણીને ચુંટણી ટાઇમે બદનામ કરવા નું ષડયંત્ર છે સાહેબ કોઇપણ વ્યક્તિ કરતો
વડાપ્રધાન વિશેષ છે સાહેબ એમનો બેમત નથી 🙏 જય માતાજી જય ભવાની 🙏",Non-Hate,Neutral,
"નામ બદલાવાથી કશુ ન થાય.દરેક જીલ્લામાં એક હોકી મેદાન બનાવી દો",Non-Hate,Neutral,
"દરેક વખતે નામ જ બદલાવ છે. ક્યારેક એકવાર તો કોઈ નવી યોજના લ્યને આવે ભારત સરકાર તો ખબર પડે કે નવી યોજના બનાવવાનું મગજ માં આવે છે કે નહિ. નામ બદલાવવા થી ફાયદો તો કંઇ છે જ નહિ પરંતુ નુકસાન છે એની publicity કરવામાં પૈસા વાપરશે આ લોકો. અને ભક્તો કુદસે રોડ ઉપર નીકળી ને",Non-Hate,Neutral,
"નામ ગમે તે રાખો એનાથી ફરક નથી પડતો ફરક એનાથી પડે છે કેટલા લોકોએ આ પુરસ્કાર જીત્યો છે",Non-Hate,Neutral,
"આ બધું ધ્યાન ભટકાવી અંદર અંદર કોમેન્ટો કરવામાં જ રસ છે...બાકી સાચું સમ્માન જ આપવું તો ભારત રત્ન આપવો જોઈએ ..
બાકી રોજગારી, બેકારી ,મંદી ,આ બધા થી ધ્યાન ભટકવાનો મુદ્દો છે બાકી કાઈ નથી 🙏",Hate,Accusations,
"નરેન્દ્ર મોદી સ્ટેડિયમ નામ કરનાર બીજાના નામો પર બદલવાનું ના કરે..",Non-Hate,Neutral,
"સારુ થયુ સાહેબે નામ બદલી ને પોતાના નામે એવોર્ડનુ નામકરણ ના કર્યુ નહિંતર #ફેકુચંદ એવોર્ડ નામ બોલવામા યે શરમ આવત.",Non-Hate,Neutral,
"ધીમે ધીમે નરેન્દ્ર મોદી ખેલ રત્ન પુરસ્કાર થઈ જશે..",Non-Hate,Neutral,
એનું નામ તો કદાચ નહીં રાખે પણ 'પ્રધાનમંત્રી' એવું નામ ખાસ રાખશે,Non-Hate,Neutral,
"Chintan Vadaliya અમદાવાદનુ મોટેરા સ્ટેડિયમ નુ નામ સરદાર વલ્લભભાઈ પટેલ હતા જે નામ નરેન્દ્રભાઈ મોદી સ્ટેડિયમ કરીદીઘુ બોલો તમે કે હુ શુ કરશુ...?",Non-Hate,Neutral,
"તારે રે મોદી સ્ટેડિયમ નામ કરવાની શું જરૂર પડી કે મોઢેરા સ્ટેડિયમ હતું બરોબર હતું જનતા રૂપિયે મોજ કરો",Non-Hate,Neutral,
"નામ બદલવું જ આવડે આ લોકોને કોઈ પોતાની ઉપજ જ નહીં આપે આ લોકો દેશને
સરદાર પટેલ સ્ટેડિયમનું નામ નરેન્દ્ર મોદી સ્ટેડિયમ કર્યું જ છે હમણાં હવે રાષ્ટ્રીય પિતા દામોદર દાસ મોદી ઘોષિત થાય તેની રાહ જુએ છે દેશ",Non-Hate,Neutral,
"કોઈ વ્યક્તિ ના સન્માન ને બીજા વ્યક્તિ સાથે જોડવું તે તેના સન્માન કરતા અપમાન વધુ છે.
સરકારે જો મેજર ધ્યાનચંદ ને સન્માન આપવું હોય તો તેના નામે નવી યોજના કે એવોર્ડ જાહેર કરવો જોઈતો હતો પણ આ રીતે બીજા ના નામ સન્માન ને હટાવી તેને આપવું તે તેનું અપમાન છે.",Hate,Accusations,
"કોઈ નું સન્માન છીનવી ને બીજા ને આપવાની વાત એ મેજર ધ્યાનચંદ નું અપમાન બરાબર છે.",Hate,Accusations,
"સારો નિર્ણય છે સ્ટેડિયમ નું નામ પણ બદલી નાખવું જોઈએ યુવરાજસિંહ સ્ટેડિયમ કરી દો કયાતો ઇરફાન પઠાણ સ્ટેડિયમ.",Non-Hate,Neutral,
"રાજીવગાંધી એ પણ દેશ માટે બલીદાન આપેલ છે એમનું નામ રદ કરવુ યોગ્ય ન કહેવાય મેજર માટે ગવઁ છે પણ અન્ય એવોડઁ મા નામ આપવુ જોઈએ",Non-Hate,Neutral,
"પોતે લીટી મોટી નથી કરી શકતા તો બીજા ની લીટી નાની કરે છે",Hate,Accusations,
"નિમ્ન કક્ષાની રાજનીતિ થઈ રહી છે,
બીજાની લીટી ભૂસી, પોતાની લીટી મોટી કરવા માટે ની નીતિ..",Hate,Accusations,
"હવે વિશ્વના સૌથી મોટાં ક્રિકેટ સ્ટેડિયમનું નામ કોઈ legendary sportperson ના નામે કરે એવા દેશવાસીઓના ઓપિનિયન છે.
શું આવું કરશે નરેન્દ્ર દામોદરદાસ મોદી
અમે તો મેજર ધ્યાનચંદના એમના દેશમાં યોગદાન પર ભારત રત્નની માંગ કરીએ છીએ સરકાર આપે
કેટલી ઓછી હરકત કરે છે કેટલા સુધી ગીરશે આ લોકો...",Non-Hate,Neutral,
"બીજાની લિટીને ભૂંસી પોતાની લીટી મોટી કરવા કરતાં આપણી જ લીટી મોટી દોરવી જોઈએ",Non-Hate,Neutral,
"એક નવો એવોર્ડ શરૂ કરાયો હોત, કોઈનું નામ હટાવવાની શી જરૂર!? હિન મનોવૃત્તિ કહેવાય.",Non-Hate,Neutral,
"રાજીવ ગાંધી એ એવુ તે શું કરી નાખ્યુ હતુ કે એના નામ નો ખેલ રત્ન અપાય હૂ બિલ કુલ મોદી જી ના સાથ માછુ બાબર ના ઓલાદો ની બધી યાદો ભારત ની બહાર કાઢી નાખવી જોવે",Hate,Accusation,
"નામ બદલવાથી દેશ આબાદ નહી થાય.
હકીકતે 'હીરાબાનો જાયો ખેલરત્ન પુરસ્કાર' સૌથી બેસ્ટ લાગે. ☺",Non-Hate,Neutral,
"રાજકીય દ્વેષ ભાવના અને હલકાઈ",Hate,Accusation,
"કોંગ્રેસ મરી પરવારી છે તેનો ફાયદો બીજેપી લઈ રહી છે
લાગતું નથી નજીકના ભવિષ્યમાં કોંગ્રેસ બેઠી જાય
જ્યાં સુધી ગાંધી પરિવાર ના હાથમાં કોંગ્રેસની લગામ છે ત્યાં સુધી આવા ગતકડા આવ્યા જ કરશે
મજબૂત વિપક્ષ જોઈએ",Hate,Accusation,
"અને બધા ના નામ બદલતા જ આવડે નવું કરતા નહિ આવડતું
Ex. સરદારપટેલ ક્રિકેટ સ્ટેડિયમ નું મોદી કર્યું😡",Non-Hate,Neutral,
"ખરે ખર તો રાજીવ ગાંધી ને આ એવોડ સાથે કોઈ લેવા દેવાજ નતા સારો નિર્ણય સે",Non-Hate,Positive,
"મગજ ફરેલો છે ગમે એ નિર્ણય લઈ લે શુ કેવુ આને આપણે",Hate,Accusation,
"અમદાવાદ નરેન્દ્રભાઈ મોદી સ્ટેડિયમ નું નામ પણ કોઈ ખેલાડી ના નામ ઉપર હોવું જોઇએ.... મોંઘવારી ઘટાડો...આ પ્રજા ની રિકવેસ્ટ છે...બહુ થયું હવે...😊😊😊😊",Non-Hate,Neutral,
"અસહ્ય મોંઘવારી ઉપરથી પ્રજા નું ધ્યાન હટાવવા નો કીમિયો....😊😊😊😊😊",Hate,Accusation,
"છાણ હોય તો અમદાવાદ નું નામ કર્ણાવતી કરો",Non-Hate,Neutral,
"બીજો એવોર્ડ શરૂ કરી શક્યા હોત.",Non-Hate,Neutral,
"પરીવર્તન જરૂરી હતું
રાજીવ ગાંધી અને ખેલરત્ન ને કાંઈ લેવાદેવા નહતું.હવે સાચા હિરો નું નામ અમર થઈ ગયુ",Non-Hate,Neutral,
"આવુ સુ કામ કરવું પડે પણ નામ બદલવાની જરુર શુ..?ગાંધી પરીવાર થી તખલિફ સુ છે જમણે દેશ ની આઝાદી માટે કુરબાની આપેલી એવા પુરુસો ના નામ હટાવી ને હલકી રાજનીતિ જ કરવી છે..",Hate,Accusation,
"છપ્પન ની છાતી આવા કામો માટે છે",Non-Hate,Neutral,
"સ્વાગત છે પણ સરદાર પટેલ સ્ટેડિયમ નું નામ પણ પાછું એજ રાખવું જોઈએ",Non-Hate,Neutral,
"નરેન્દ્ર મોદી સ્ટેડિયમ નું નામ સરદાર પટેલ ના નામ પર કરો.....",Non-Hate,Neutral,
"ગાંધી નુ નામ પડતા જ પેટ માં ચુક ઉપડે છે સંત ને 🤪😆😆",Non-Hate,Neutral,
"જુના નામ બદલવા ને બદલે કઇક નવુ બનાવી ને નામ આપો આમા ખાલી અંધ ભકતો ખુશ રહેશે દેશ નહી",Non-Hate,Neutral,
"મોદીજી બહુ મોટા ક્રિકેટર છે માટે તેના નામે સ્ટેડિયમ રખાયું છે.
😀🤣",Non-Hate,Neutral,
"જીવતા ના નામે સ્ટેડિયમ થતુ હોય સરદાર નુ નામ ભુસી નાખે એવા લોકો બીજુ શુ કરી ના શકે આનાથી મોટી કમ નસીબી કય કહેવાય
",Hate,Accusation,
"આવુ થોડું ચાલે મન પડે એમાં નામ ફેર બદલી. રાજીવ ગાંધી એ પણ દેશહિતમાં કાર્ય કરેલ જ ને",Hate,Accusation,
"નિર્ણય સારો છે એ પ્રમાણે અમદાવાદ સ્ટેડિયમ નો પણ નામ ચેન્જ થવો જોઈએ રાજકારણી ના નામ માં કશુજ ના જોય 😡",Non-Hate,Neutral,
"ધીમા રો પાણી પગ માં જ આવશે.........તમે ચાલુ કરેલી પ્રથા તમારા જ નામ ભૂસવા માટે કામ લાગશે....જય હિન્દ જય ભારત",Non-Hate,Neutral,
"જય શાહ ની જગ્યાએ કપિલ દેવ અથવા સચિન તેંડુલકર ને bcci ના પ્રમુખ બનાવવા જોઈએ",Non-Hate,Neutral,
"નામ બદલો દેશ બચાવો રાત ને દિવસ બનાવો દિવસને રાત જે કરે તે કરવા દિયો સમય સમાપ્ત થઈ રહીયો છે",Non-Hate,Neutral,
"કાય કામ કરવા નથી બસ નામ બદલવા છે",Hate,Accusation,
"બીજેપી પાસે વિકાસ ના કોઈ મુદ્દા નથી તેથી તેઓએ નામમાં ફેરફાર કરે",Hate,Accusation,
"જે માણસ જીવતે જીવતે સરદાર સાહેબ ની જગ્યા યે પોતાનું નામ લગાવી સકતો હોય યે માણસ કઈ પણ કરી શકે.",Hate,Accusation,
"ભક્તોના બાપાના નામ પણ બદલી ના નાખેલ્યા જોજો",Non-Hate,Neutral,
"નહી કરે એવુ આ ઇલેકશનનો એક મુદ્દો બનાવા માટેનુ કાવતરું છે
ભુન્ડો હવેને નવો મુદ્દો આપવામા આવ્યો પ્રચાર કરવા માટે",Hate,Accusation,
"બરાબર છે પ્રજાને ખોબે ખોબે મત આપ્યા છે ભોગવું પડે",Non-Hate,Neutral,
"સરદાર વલ્લભભાઈ પટેલ નુ નામ ભૂંસી નાખે એ પણ ગુજરાત મા તો રાજીવગાંધી નુ શુ આવે",Non-Hate,Neutral,
"જ્યારે આપડા ભારત ની તમામ જનતા આ લોકો નો બળવો અને બહિષ્કાર નહિ કરે ત્યાં સુધી આવું જ ચાલશે અને દિવસો હજી ખરાબ આવશે",Hate,Promoting violence,
"એક એવોર્ડ અને મહાન ખેલાડી નું વરસો પછી સમ્માન 🙏🏻",Non-Hate,Neutral,
"વહ મોદી જી બધાઈ હો યુગ પુરુષ ભારત રત્ન મોદી જી હૈ તપી તો મુમકીન હૈ",Non-Hate,Positive,
"રોજગારી અને સારી સુવિધા આપી નામ બદલી ને ફાયદો નહી થાય",Hate,Accusation,
"નામ ફેરવવાથી કાઈ ફરક નો પડે ૫૬ ની છાતી હોય તો કરી ને બતાવે તો અસલી બાપ ના કહેવાય",Hate,Accusation,
"કાલે ભારત નું નામ ભાજપ પણ કરી નાખે હવે તો સુધ્રો કમળ ગત્તાઓ",Non-Hate,Neutral,
"નામ બદલવા સિવાય કોઈ કામ કર્યુ છે ?",Non-Hate,Neutral,
"એર પોર્ટ માં સરદાર જી નામ હટાવ્યુ એમાં વિરોધ નહિ થયો",Non-Hate,Neutral,
"ખેલ પુરસ્કાર નું નામ ખેલાડી ના નામ ઉપર થી રાખ્યું ખૂબ ખૂબ સરસ....પણ સ્ટેડિયમ નું નામ પણ બદલો....",Non-Hate,Neutral,
"આ હારામી ની પેદાઈસ ને નામ બદલવા સિવાય કોઈ કામ નથી કર્યું",Hate,Abusive,
"અદાણી અંબાણી કેમ ભુલાય ગયા",Non-Hate,Neutral,
"દેશ નુ અપમાન કેવાય...રાજીવ જી મોદીની જેમ z+સિકયુરિટ મા નતા ફરતા...રાજીવ જી નુ અપમાન દેશ નુ અપમાન કેવાય...",Hate,Accusation,
"અભણ માણસ પાસે આથી વધારે શું અપેક્ષા હોય મૂરખ છે",Hate,Accusation,
"કોંગ્રેસ વિપક્ષ ની ભૂમિકા બરાબર ભજવે તો આવું ન થાય.",Hate,Accusation,
"આવી સંકુચિત માનસિકતા ને લીધે જ દેશ રમત ગમત માં પાછળ રહી જાય છે",Hate,Accusation,
"ઓલમ્પિક પતી જાય એટલે બધું ભૂલી જાય છે",Non-Hate,Neutral,
"આઝાદી પૂર્વેની ભારતીય ક્રિકેટ ટીમનાં એક માત્ર ભારતીય ખેલાડી વેલુ પીલવાઈકર ની સ્મ્રુતી માં ન તો કોઈ સ્ટેડીયમ નું નામાકરણ કરાયું કે નતો કોઈ ટ્રોફી શરુ કરાઈ?
ફટ છે ......ICCI ફટ છે BCCI... 😡",Hate,Accusation,
"એનેતો ભાડે આપ્યું આપડે સીધું વેચી માર છે",Hate,Accusation,
"ભારત હજુ શુધી ગોલ્ડ મેડલ જીતી શક્યું નથી ૧૩૫ કરોડમાં એક પણ નથી કે દેશને ગોલ્ડ મેડલ આપી શકે .",Non-Hate,Neutral,
